,indobert-base-p1,indobert-large-p1,bert-base-multilingual-uncased,fasttext,n_cluster
0,0.40907464971173974,0.4637344879453809,0.3604417308539805,0.4875514141381972,2
1,0.3753127136275659,0.3970994422769016,0.3754111614904207,0.4102375171108301,3
2,0.3853195532054688,0.3848214097822751,0.4085195423112329,0.6065021586994769,4
3,0.4393714304277061,0.4554495906901412,0.4332527702958394,0.4879067635479607,5
4,0.4233125063358254,0.4337609553039105,0.4406224075736192,0.5607291491344142,6
5,0.47317898365896544,0.4354203670494667,0.4405979546536104,0.5567291009698149,7
6,0.4409779711498804,0.4396805908741034,0.5087135965110042,0.5957142622439061,8
7,0.5124678672714329,0.4271717749967019,0.4356571896440379,0.5981454431239224,9
8,0.44064213590167545,0.4273949247859026,0.4939064217022075,0.597750507822357,10
9,0.45471020333597456,0.4915023819002429,0.4786636789182029,0.5730689232323755,11
10,0.5091050287791832,0.5107280221577324,0.4971221509813933,0.6127599741670714,12
11,0.5346553605562291,0.4770113800927753,0.4832684896825296,0.575887538121422,13
12,0.5381819390027887,0.5460729346354876,0.5041269502165583,0.5872973594990726,14
13,0.5821226461414478,0.5262439932903125,0.5022151448552729,0.5720132885943343,15
14,0.5766653969591985,0.5185023318977235,0.5041227642802987,0.5686815843355497,16
15,0.5632422715805364,0.5494637452056582,0.4998398470804707,0.5656197918360297,17
16,0.5608085296933104,0.5639541744595118,0.5360262527775984,0.5842245757059404,18
17,0.5701411637589784,0.5804204421031413,0.5227837134507557,0.5472705818662631,19
18,0.5650985929611739,0.5740408226912542,0.527640937923135,0.5567856490058783,20
